"Category","MediaType","RelativePath","Name","Extension","Bytes","ModifiedUtc","FullPath"
"creature-audio","audio","Content/Characters/Charybdis/CHARYBDIS_attack3.ogg","CHARYBDIS_attack3.ogg","ogg","71274","2025-06-08T21:11:03.4670225Z","C:\Program Files (x86)\Steam\steamapps\common\Barotrauma\Content\Characters\Charybdis\CHARYBDIS_attack3.ogg"
"creature-audio","audio","Content/Characters/Charybdis/CHARYBDIS_damage1.ogg","CHARYBDIS_damage1.ogg","ogg","114232","2025-06-08T21:11:02.4532838Z","C:\Program Files (x86)\Steam\steamapps\common\Barotrauma\Content\Characters\Charybdis\CHARYBDIS_damage1.ogg"
"creature-audio","audio","Content/Characters/Charybdis/CHARYBDIS_damage2.ogg","CHARYBDIS_damage2.ogg","ogg","159373","2025-06-08T21:11:03.5349204Z","C:\Program Files (x86)\Steam\steamapps\common\Barotrauma\Content\Characters\Charybdis\CHARYBDIS_damage2.ogg"
"creature-audio","audio","Content/Characters/Charybdis/CHARYBDIS_death1.ogg","CHARYBDIS_death1.ogg","ogg","119627","2025-06-08T21:11:03.7016145Z","C:\Program Files (x86)\Steam\steamapps\common\Barotrauma\Content\Characters\Charybdis\CHARYBDIS_death1.ogg"
"creature-audio","audio","Content/Characters/Charybdis/CHARYBDIS_death2.ogg","CHARYBDIS_death2.ogg","ogg","107223","2025-06-08T21:11:03.7643870Z","C:\Program Files (x86)\Steam\steamapps\common\Barotrauma\Content\Characters\Charybdis\CHARYBDIS_death2.ogg"
"creature-audio","audio","Content/Characters/Charybdis/CHARYBDIS_idle1.ogg","CHARYBDIS_idle1.ogg","ogg","69009","2025-06-08T21:11:02.8127459Z","C:\Program Files (x86)\Steam\steamapps\common\Barotrauma\Content\Characters\Charybdis\CHARYBDIS_idle1.ogg"
"creature-audio","audio","Content/Characters/Charybdis/CHARYBDIS_idle2.ogg","CHARYBDIS_idle2.ogg","ogg","101364","2025-06-08T21:11:03.7016145Z","C:\Program Files (x86)\Steam\steamapps\common\Barotrauma\Content\Characters\Charybdis\CHARYBDIS_idle2.ogg"
"creature-audio","audio","Content/Characters/Charybdis/CHARYBDIS_IdleLoop.ogg","CHARYBDIS_IdleLoop.ogg","ogg","470422","2025-06-08T21:11:01.8931629Z","C:\Program Files (x86)\Steam\steamapps\common\Barotrauma\Content\Characters\Charybdis\CHARYBDIS_IdleLoop.ogg"
"creature-audio","audio","Content/Characters/Charybdisold/CHARYBDIS_attack1.ogg","CHARYBDIS_attack1.ogg","ogg","70515","2025-06-08T21:11:02.4044603Z","C:\Program Files (x86)\Steam\steamapps\common\Barotrauma\Content\Characters\Charybdisold\CHARYBDIS_attack1.ogg"
"creature-audio","audio","Content/Characters/Charybdisold/CHARYBDIS_attack2.ogg","CHARYBDIS_attack2.ogg","ogg","97620","2025-06-08T21:11:02.4214678Z","C:\Program Files (x86)\Steam\steamapps\common\Barotrauma\Content\Characters\Charybdisold\CHARYBDIS_attack2.ogg"
"creature-audio","audio","Content/Characters/Charybdisold/CHARYBDIS_attack3.ogg","CHARYBDIS_attack3.ogg","ogg","66846","2025-06-08T21:11:02.7076700Z","C:\Program Files (x86)\Steam\steamapps\common\Barotrauma\Content\Characters\Charybdisold\CHARYBDIS_attack3.ogg"
"creature-audio","audio","Content/Characters/Charybdisold/CHARYBDIS_damage1.ogg","CHARYBDIS_damage1.ogg","ogg","117124","2025-06-08T21:11:03.4620219Z","C:\Program Files (x86)\Steam\steamapps\common\Barotrauma\Content\Characters\Charybdisold\CHARYBDIS_damage1.ogg"
"creature-audio","audio","Content/Characters/Charybdisold/CHARYBDIS_damage2.ogg","CHARYBDIS_damage2.ogg","ogg","159507","2025-06-08T21:11:02.8147456Z","C:\Program Files (x86)\Steam\steamapps\common\Barotrauma\Content\Characters\Charybdisold\CHARYBDIS_damage2.ogg"
"creature-audio","audio","Content/Characters/Charybdisold/CHARYBDIS_death1.ogg","CHARYBDIS_death1.ogg","ogg","126838","2025-06-08T21:11:02.8117457Z","C:\Program Files (x86)\Steam\steamapps\common\Barotrauma\Content\Characters\Charybdisold\CHARYBDIS_death1.ogg"
"creature-audio","audio","Content/Characters/Charybdisold/CHARYBDIS_death2.ogg","CHARYBDIS_death2.ogg","ogg","103425","2025-06-08T21:11:03.7623872Z","C:\Program Files (x86)\Steam\steamapps\common\Barotrauma\Content\Characters\Charybdisold\CHARYBDIS_death2.ogg"
"creature-audio","audio","Content/Characters/Charybdisold/CHARYBDIS_idle1.ogg","CHARYBDIS_idle1.ogg","ogg","83178","2025-06-08T21:11:03.5349204Z","C:\Program Files (x86)\Steam\steamapps\common\Barotrauma\Content\Characters\Charybdisold\CHARYBDIS_idle1.ogg"
"creature-audio","audio","Content/Characters/Charybdisold/CHARYBDIS_idle2.ogg","CHARYBDIS_idle2.ogg","ogg","96739","2025-06-08T21:11:03.4650226Z","C:\Program Files (x86)\Steam\steamapps\common\Barotrauma\Content\Characters\Charybdisold\CHARYBDIS_idle2.ogg"
"creature-audio","audio","Content/Characters/Coelanth/attack1.ogg","attack1.ogg","ogg","49948","2025-06-08T21:11:03.7613872Z","C:\Program Files (x86)\Steam\steamapps\common\Barotrauma\Content\Characters\Coelanth\attack1.ogg"
"creature-audio","audio","Content/Characters/Coelanth/idle1.ogg","idle1.ogg","ogg","35122","2025-06-08T21:11:03.7583863Z","C:\Program Files (x86)\Steam\steamapps\common\Barotrauma\Content\Characters\Coelanth\idle1.ogg"
